Step,Temp,E_pair,TotEng,Press
0,10,-2370.4157,-2369.7552,1140.0966
100,6.0464502,-2369.3843,-2368.9849,-765.67211
200,34.790973,-2369.1772,-2366.8792,103.36063
300,33.299653,-2367.3967,-2365.1972,47.572767
400,51.872984,-2367.6395,-2364.2132,363.71008
500,63.683528,-2366.9741,-2362.7677,-818.45348
600,62.67576,-2365.6379,-2361.4981,659.12652
700,89.946581,-2365.6195,-2359.6784,184.03689
800,84.194948,-2363.1507,-2357.5895,-1285.4352
900,112.18818,-2364.9947,-2357.5844,1671.9323
1000,113.58335,-2363.7436,-2356.2412,-893.50561
1100,108.55237,-2360.9497,-2353.7796,-715.92322
1200,134.5733,-2362.2413,-2353.3525,2021.3061
1300,152.28086,-2361.9556,-2351.8971,-1976.8226
1400,129.71946,-2361.173,-2352.6048,635.66977
1500,158.63318,-2361.4869,-2351.0089,1458.9143
1600,157.90931,-2357.0695,-2346.6393,-2469.8578
1700,201.95645,-2358.8214,-2345.4818,1955.4162
1800,191.65646,-2360.7992,-2348.14,-87.784472
1900,193.28379,-2357.4207,-2344.6539,-1075.6901
2000,185.19869,-2357.0286,-2344.7959,1881.0237
2100,230.29929,-2354.7211,-2339.5093,-1221.826
2200,233.16143,-2356.2567,-2340.8559,-336.69757
2300,224.72168,-2357.2441,-2342.4008,2200.7008
2400,230.21028,-2352.5691,-2337.3633,-2725.1269
2500,276.72685,-2352.0447,-2333.7664,1375.2784
2600,266.07146,-2353.4803,-2335.9058,780.51333
2700,280.4758,-2355.5958,-2337.0699,-2179.9585
2800,288.90048,-2348.8318,-2329.7493,2386.4381
2900,302.42361,-2350.6776,-2330.702,-445.41169
3000,276.53537,-2350.0058,-2331.7401,-2168.532
3100,310.18253,-2350.1764,-2329.6883,4282.4535
3200,285.10048,-2347.8299,-2328.9985,-3825.1459
3300,360.57544,-2347.047,-2323.2303,395.77441
3400,337.51034,-2344.6263,-2322.3331,2580.9179
3500,389.31223,-2347.6332,-2321.9184,-4050.4825
3600,375.77986,-2348.7508,-2323.9298,2408.9831
3700,378.7418,-2342.4242,-2317.4076,244.28272
3800,397.86755,-2340.8193,-2314.5394,-1951.212
